A,Element,Z,HalfLife
1,n,0,613.9 s
1,H,1,stbl
2,H,1,stbl
3,H,1,12.32 y
3,He,2,stbl
3,Li,3,p-unst
4,H,1,139 ys
4,He,2,stbl
4,Li,3,91 ys
5,H,1,>910 ys
5,He,2,700 ys
5,Li,3,370 ys
5,Be,4,n/a
6,H,1,290 ys
6,He,2,806.92 ms
6,Li,3,stbl
6,Be,4,5.0 zs
6,B,5,p-unst
7,H,1,500 ys
7,He,2,2.51 zs
7,Li,3,stbl
7,Be,4,53.22 d
7,B,5,570 ys
8,He,2,119.1 ms
8,Li,3,839.40 ms
8,Be,4,81.9 as
8,B,5,770 ms
8,C,6,3.5 zs
9,He,2,2.5 zs
9,Li,3,178.3 ms
9,Be,4,stbl
9,B,5,800 zs
9,C,6,126.5 ms
10,He,2,3.1 zs
10,Li,3,2.0 zs
10,Be,4,1.51 My
10,B,5,stbl
10,C,6,19.3009 s
10,N,7,200 ys
11,Li,3,8.75 ms
11,Be,4,13.76 s
11,B,5,stbl
11,C,6,20.364 m
11,N,7,550 ys
12,Li,3,<10 ns
12,Be,4,21.50 ms
12,B,5,20.20 ms
12,C,6,stbl
12,N,7,11.000 ms
12,O,8,>6.3 zs
13,Li,3,3.3 zs
13,Be,4,1.0 zs
13,B,5,17.33 ms
13,C,6,stbl
13,N,7,9.965 m
13,O,8,8.58 ms
14,Be,4,4.35 ms
14,B,5,12.5 ms
14,C,6,5.70 ky
14,N,7,stbl
14,O,8,70.620 s
14,F,9,500 ys
15,Be,4,790 ys
15,B,5,9.93 ms
15,C,6,2.449 s
15,N,7,stbl
15,O,8,122.24 s
15,F,9,1.1 zs
15,Ne,10,770 ys
16,Be,4,650 ys
16,B,5,>4.6 zs
16,C,6,747 ms
16,N,7,7.13 s
16,O,8,stbl
16,F,9,11 zs
16,Ne,10,>5.7 zs
17,B,5,5.08 ms
17,C,6,193 ms
17,N,7,4.173 s
17,O,8,stbl
17,F,9,64.370 s
17,Ne,10,109.2 ms
17,Na,11,n/a
18,B,5,<26 ns
18,C,6,92 ms
18,N,7,619.2 ms
18,O,8,stbl
18,F,9,109.739 m
18,Ne,10,1664.20 ms
18,Na,11,1.3 zs
19,B,5,2.92 ms
19,C,6,46.2 ms
19,N,7,336 ms
19,O,8,26.470 s
19,F,9,stbl
19,Ne,10,17.274 s
19,Na,11,>1 as
19,Mg,12,5 ps
20,B,5,n/a
20,C,6,16 ms
20,N,7,136 ms
20,O,8,13.51 s
20,F,9,11.163 s
20,Ne,10,stbl
20,Na,11,447.9 ms
20,Mg,12,93 ms
21,B,5,<260ns
21,C,6,<30ns
21,N,7,84 ms
21,O,8,3.42 s
21,F,9,4.158 s
21,Ne,10,stbl
21,Na,11,22.422 s
21,Mg,12,118.6 ms
21,Al,13,<35ns
22,C,6,6.2 ms
22,N,7,23 ms
22,O,8,2.25 s
22,F,9,4.23 s
22,Ne,10,stbl
22,Na,11,2.6018 y
22,Mg,12,3.8755 s
22,Al,13,91.1 ms
22,Si,14,29 ms
23,C,6,n/a
23,N,7,13.9 ms
23,O,8,97 ms
23,F,9,2.23 s
23,Ne,10,37.140 s
23,Na,11,stbl
23,Mg,12,11.317 s
23,Al,13,470 ms
23,Si,14,42.3 ms
24,N,7,<52ns
24,O,8,77.4 ms
24,F,9,384 ms
24,Ne,10,3.38 m
24,Na,11,14.957 h
24,Mg,12,stbl
24,Al,13,2.053 s
24,Si,14,140 ms
24,P,15,n/a
25,N,7,<260ns
25,O,8,5.18 zs
25,F,9,80 ms
25,Ne,10,602 ms
25,Na,11,59.1 s
25,Mg,12,stbl
25,Al,13,7.183 s
25,Si,14,220 ms
25,P,15,<30ns
26,O,8,4.2 ps
26,F,9,8.2 ms
26,Ne,10,197 ms
26,Na,11,1071.28 ms
26,Mg,12,stbl
26,Al,13,717 ky
26,Si,14,2.2453 s
26,P,15,43.7 ms
26,S,16,<79ns
27,O,8,<260ns
27,F,9,4.9 ms
27,Ne,10,31.5 ms
27,Na,11,301 ms
27,Mg,12,9.435 m
27,Al,13,stbl
27,Si,14,4.15 s
27,P,15,260 ms
27,S,16,15.5 ms
28,O,8,<100ns
28,F,9,46 zs
28,Ne,10,20 ms
28,Na,11,30.5 ms
28,Mg,12,20.915 h
28,Al,13,2.245 m
28,Si,14,stbl
28,P,15,270.3 ms
28,S,16,125 ms
28,Cl,17,n/a
29,F,9,2.5 ms
29,Ne,10,14.7 ms
29,Na,11,44.1 ms
29,Mg,12,1.30 s
29,Al,13,6.56 m
29,Si,14,stbl
29,P,15,4.142 s
29,S,16,188 ms
29,Cl,17,<10ps
30,F,9,<260ns
30,Ne,10,7.22 ms
30,Na,11,48.4 ms
30,Mg,12,313 ms
30,Al,13,3.62 s
30,Si,14,stbl
30,P,15,2.498 m
30,S,16,1.1759 s
30,Cl,17,<30ns
30,Ar,18,<10ps
31,F,9,1 ms
31,Ne,10,3.4 ms
31,Na,11,17.35 ms
31,Mg,12,236 ms
31,Al,13,644 ms
31,Si,14,157.36 m
31,P,15,stbl
31,S,16,2.5534 s
31,Cl,17,190 ms
31,Ar,18,15.1 ms
32,Ne,10,3.5 ms
32,Na,11,12.9 ms
32,Mg,12,86 ms
32,Al,13,33.0 ms
32,Si,14,153 y
32,P,15,14.268 d
32,S,16,stbl
32,Cl,17,298 ms
32,Ar,18,98 ms
32,K,19,n/a
33,Ne,10,<260ns
33,Na,11,8.2 ms
33,Mg,12,90.5 ms
33,Al,13,41.7 ms
33,Si,14,6.18 s
33,P,15,25.35 d
33,S,16,stbl
33,Cl,17,2.5038 s
33,Ar,18,173.0 ms
33,K,19,<25ns
34,Ne,10,1 ms
34,Na,11,5.5 ms
34,Mg,12,20 ms
34,Al,13,56.3 ms
34,Si,14,2.77 s
34,P,15,12.43 s
34,S,16,stbl
34,Cl,17,1.5266 s
34,Ar,18,843.8 ms
34,K,19,<40ns
34,Ca,20,<35ns
35,Na,11,1.5 ms
35,Mg,12,70 ms
35,Al,13,37.2 ms
35,Si,14,780 ms
35,P,15,47.3 s
35,S,16,87.37 d
35,Cl,17,stbl
35,Ar,18,1.7756 s
35,K,19,178 ms
35,Ca,20,25.7 ms
36,Na,11,<180ns
36,Mg,12,3.9 ms
36,Al,13,90 ms
36,Si,14,450 ms
36,P,15,5.6 s
36,S,16,stbl
36,Cl,17,301.3 ky
36,Ar,18,stbl
36,K,19,341 ms
36,Ca,20,101.2 ms
36,Sc,21,n/a
37,Na,11,1 ms
37,Mg,12,8 ms
37,Al,13,11.5 ms
37,Si,14,90 ms
37,P,15,2.31 s
37,S,16,5.05 m
37,Cl,17,stbl
37,Ar,18,35.011 d
37,K,19,1.2365 s
37,Ca,20,181.1 ms
37,Sc,21,n/a
38,Mg,12,1 ms
38,Al,13,9.0 ms
38,Si,14,90 ms
38,P,15,640 ms
38,S,16,170.3 m
38,Cl,17,37.24 m
38,Ar,18,stbl
38,K,19,7.636 m
38,Ca,20,443.70 ms
38,Sc,21,<300ns
38,Ti,22,<120ns
39,Mg,12,<180ns
39,Al,13,7.6 ms
39,Si,14,47.5 ms
39,P,15,282 ms
39,S,16,11.5 s
39,Cl,17,56.2 m
39,Ar,18,269 y
39,K,19,stbl
39,Ca,20,860.3 ms
39,Sc,21,<300 ns
39,Ti,22,28.5 ms
40,Mg,12,1 ms
40,Al,13,10 ms
40,Si,14,33.0 ms
40,P,15,150 ms
40,S,16,8.8 s
40,Cl,17,1.35 m
40,Ar,18,stbl
40,K,19,1.248 Gy
40,Ca,20,stbl
40,Sc,21,182.3 ms
40,Ti,22,52.4 ms
40,V,23,n/a
41,Al,13,2 ms
41,Si,14,20.0 ms
41,P,15,101 ms
41,S,16,1.99 s
41,Cl,17,38.4 s
41,Ar,18,109.61 m
41,K,19,stbl
41,Ca,20,99.4 ky
41,Sc,21,596.3 ms
41,Ti,22,81.9 ms
41,V,23,n/a
42,Al,13,1 ms
42,Si,14,12.5 ms
42,P,15,48.5 ms
42,S,16,1.016 s
42,Cl,17,6.8 s
42,Ar,18,32.9 y
42,K,19,12.355 h
42,Ca,20,stbl
42,Sc,21,680.79 ms
42,Ti,22,208.65 ms
42,V,23,<55ns
42,Cr,24,13.3 ms
43,Al,13,1 ms
43,Si,14,15 ms
43,P,15,35.8 ms
43,S,16,265 ms
43,Cl,17,3.13 s
43,Ar,18,5.37 m
43,K,19,22.3 h
43,Ca,20,stbl
43,Sc,21,3.891 h
43,Ti,22,509 ms
43,V,23,79.3 ms
43,Cr,24,21.1 ms
44,Si,14,10 ms
44,P,15,18.5 ms
44,S,16,100 ms
44,Cl,17,560 ms
44,Ar,18,11.87 m
44,K,19,22.13 m
44,Ca,20,stbl
44,Sc,21,4.0420 h
44,Ti,22,59.1 y
44,V,23,111 ms
44,Cr,24,42.8 ms
44,Mn,25,<105ns
45,Si,14,1 ms
45,P,15,8 ms
45,S,16,68 ms
45,Cl,17,413 ms
45,Ar,18,21.48 s
45,K,19,17.8 m
45,Ca,20,162.61 d
45,Sc,21,stbl
45,Ti,22,184.8 m
45,V,23,547 ms
45,Cr,24,60.9 ms
45,Mn,25,<70ns
45,Fe,26,2.2 ms
46,P,15,4 ms
46,S,16,50 ms
46,Cl,17,232 ms
46,Ar,18,8.4 s
46,K,19,105 s
46,Ca,20,stbl
46,Sc,21,83.80 d
46,Ti,22,stbl
46,V,23,422.64 ms
46,Cr,24,224.3 ms
46,Mn,25,36.2 ms
46,Fe,26,13.0 ms
47,P,15,2 ms
47,S,16,20 ms
47,Cl,17,101 ms
47,Ar,18,1.23 s
47,K,19,17.50 s
47,Ca,20,4.536 d
47,Sc,21,3.3492 d
47,Ti,22,stbl
47,V,23,32.6 m
47,Cr,24,500 ms
47,Mn,25,88.0 ms
47,Fe,26,21.9 ms
47,Co,27,n/a
48,S,16,10 ms
48,Cl,17,100 ms
48,Ar,18,415 ms
48,K,19,6.8 s
48,Ca,20,45 Ey
48,Sc,21,43.67 h
48,Ti,22,stbl
48,V,23,15.9735 d
48,Cr,24,21.56 h
48,Mn,25,158.1 ms
48,Fe,26,45.3 ms
48,Co,27,n/a
48,Ni,28,2.8 ms
49,S,16,<200ns
49,Cl,17,50 ms
49,Ar,18,236 ms
49,K,19,1.26 s
49,Ca,20,8.718 m
49,Sc,21,57.18 m
49,Ti,22,stbl
49,V,23,330 d
49,Cr,24,42.3 m
49,Mn,25,382 ms
49,Fe,26,64.7 ms
49,Co,27,<35ns
49,Ni,28,7.5 ms
50,Cl,17,20 ms
50,Ar,18,106 ms
50,K,19,472 ms
50,Ca,20,13.9 s
50,Sc,21,102.5 s
50,Ti,22,stbl
50,V,23,150 Py
50,Cr,24,stbl
50,Mn,25,283.19 ms
50,Fe,26,152.1 ms
50,Co,27,38.8 ms
50,Ni,28,18.5 ms
51,Cl,17,2 ms
51,Ar,18,60 ms
51,K,19,365 ms
51,Ca,20,10.0 s
51,Sc,21,12.4 s
51,Ti,22,5.76 m
51,V,23,stbl
51,Cr,24,27.7010 d
51,Mn,25,46.2 m
51,Fe,26,305.4 ms
51,Co,27,68.8 ms
51,Ni,28,23.8 ms
52,Ar,18,10 ms
52,K,19,110 ms
52,Ca,20,4.6 s
52,Sc,21,8.2 s
52,Ti,22,1.7 m
52,V,23,3.743 m
52,Cr,24,stbl
52,Mn,25,5.591 d
52,Fe,26,8.275 h
52,Co,27,111.1 ms
52,Ni,28,41.8 ms
52,Cu,29,n/a
53,Ar,18,3 ms
53,K,19,30 ms
53,Ca,20,461 ms
53,Sc,21,2.4 s
53,Ti,22,32.7 s
53,V,23,1.543 m
53,Cr,24,stbl
53,Mn,25,3.7 My
53,Fe,26,8.51 m
53,Co,27,242 ms
53,Ni,28,55.2 ms
53,Cu,29,<130ns
54,K,19,10 ms
54,Ca,20,90 ms
54,Sc,21,526 ms
54,Ti,22,2.1 s
54,V,23,49.8 s
54,Cr,24,stbl
54,Mn,25,312.20 d
54,Fe,26,stbl
54,Co,27,193.28 ms
54,Ni,28,114.2 ms
54,Cu,29,<75ns
54,Zn,30,1.8 ms
55,K,19,3 ms
55,Ca,20,22 ms
55,Sc,21,96 ms
55,Ti,22,1.3 s
55,V,23,6.54 s
55,Cr,24,3.497 m
55,Mn,25,stbl
55,Fe,26,2.744 y
55,Co,27,17.53 h
55,Ni,28,204.7 ms
55,Cu,29,57 ms
55,Zn,30,19.8 ms
56,K,19,1 ms
56,Ca,20,11 ms
56,Sc,21,26 ms
56,Ti,22,200 ms
56,V,23,216 ms
56,Cr,24,5.94 m
56,Mn,25,2.5789 h
56,Fe,26,stbl
56,Co,27,77.236 d
56,Ni,28,6.075 d
56,Cu,29,93 ms
56,Zn,30,32.9 ms
56,Ga,31,n/a
57,Ca,20,5 ms
57,Sc,21,22 ms
57,Ti,22,95 ms
57,V,23,350 ms
57,Cr,24,21.1 s
57,Mn,25,85.4 s
57,Fe,26,stbl
57,Co,27,271.70 d
57,Ni,28,35.60 h
57,Cu,29,196.3 ms
57,Zn,30,38 ms
57,Ga,31,n/a
58,Ca,20,3 ms
58,Sc,21,12 ms
58,Ti,22,55 ms
58,V,23,191 ms
58,Cr,24,7.0 s
58,Mn,25,3.0 s
58,Fe,26,stbl
58,Co,27,70.86 d
58,Ni,28,stbl
58,Cu,29,3.204 s
58,Zn,30,86.7 ms
58,Ga,31,n/a
58,Ge,32,n/a
59,Sc,21,10 ms
59,Ti,22,28.5 ms
59,V,23,95 ms
59,Cr,24,1050 ms
59,Mn,25,4.59 s
59,Fe,26,44.495 d
59,Co,27,stbl
59,Ni,28,81 ky
59,Cu,29,81.5 s
59,Zn,30,182.0 ms
59,Ga,31,<43ns
59,Ge,32,8 ms
60,Sc,21,3 ms
60,Ti,22,22.2 ms
60,V,23,122 ms
60,Cr,24,490 ms
60,Mn,25,280 ms
60,Fe,26,2.62 My
60,Co,27,5.2712 y
60,Ni,28,stbl
60,Cu,29,23.7 m
60,Zn,30,2.38 m
60,Ga,31,70 ms
60,Ge,32,30 ms
60,As,33,n/a
61,Sc,21,2 ms
61,Ti,22,15 ms
61,V,23,48.2 ms
61,Cr,24,243 ms
61,Mn,25,709 ms
61,Fe,26,5.98 m
61,Co,27,1.649 h
61,Ni,28,stbl
61,Cu,29,3.339 h
61,Zn,30,89.1 s
61,Ga,31,167 ms
61,Ge,32,44 ms
61,As,33,n/a
62,Ti,22,10 ms
62,V,23,33.6 ms
62,Cr,24,206 ms
62,Mn,25,92 ms
62,Fe,26,68 s
62,Co,27,1.54 m
62,Ni,28,stbl
62,Cu,29,9.67 m
62,Zn,30,9.193 h
62,Ga,31,116.121 ms
62,Ge,32,129 ms
62,As,33,n/a
63,Ti,22,3 ms
63,V,23,19.6 ms
63,Cr,24,129 ms
63,Mn,25,275 ms
63,Fe,26,6.1 s
63,Co,27,26.9 s
63,Ni,28,101.2 y
63,Cu,29,stbl
63,Zn,30,38.47 m
63,Ga,31,32.4 s
63,Ge,32,142 ms
63,As,33,<43ns
64,Ti,22,4 ms
64,V,23,15 ms
64,Cr,24,43 ms
64,Mn,25,88.8 ms
64,Fe,26,2.0 s
64,Co,27,300 ms
64,Ni,28,stbl
64,Cu,29,12.7004 h
64,Zn,30,stbl
64,Ga,31,2.627 m
64,Ge,32,63.7 s
64,As,33,40 ms
64,Se,34,30 ms
65,V,23,10 ms
65,Cr,24,27.5 ms
65,Mn,25,91.9 ms
65,Fe,26,810 ms
65,Co,27,1.16 s
65,Ni,28,2.5175 h
65,Cu,29,stbl
65,Zn,30,243.93 d
65,Ga,31,15.2 m
65,Ge,32,30.9 s
65,As,33,170 ms
65,Se,34,33 ms
66,V,23,5 ms
66,Cr,24,23.8 ms
66,Mn,25,64.2 ms
66,Fe,26,351 ms
66,Co,27,194 ms
66,Ni,28,54.6 h
66,Cu,29,5.120 m
66,Zn,30,stbl
66,Ga,31,9.304 h
66,Ge,32,2.26 h
66,As,33,95.77 ms
66,Se,34,33 ms
67,V,23,2 ms
67,Cr,24,10 ms
67,Mn,25,46.7 ms
67,Fe,26,394 ms
67,Co,27,329 ms
67,Ni,28,21 s
67,Cu,29,61.83 h
67,Zn,30,stbl
67,Ga,31,3.2617 d
67,Ge,32,18.9 m
67,As,33,42.5 s
67,Se,34,133 ms
67,Br,35,n/a
68,Cr,24,5 ms
68,Mn,25,33.7 ms
68,Fe,26,188 ms
68,Co,27,200 ms
68,Ni,28,29 s
68,Cu,29,30.9 s
68,Zn,30,stbl
68,Ga,31,67.845 m
68,Ge,32,270.93 d
68,As,33,151.6 s
68,Se,34,35.5 s
68,Br,35,<1.5us
69,Cr,24,2 ms
69,Mn,25,22.1 ms
69,Fe,26,108.2 ms
69,Co,27,180 ms
69,Ni,28,11.4 s
69,Cu,29,2.85 m
69,Zn,30,56.4 m
69,Ga,31,stbl
69,Ge,32,39.05 h
69,As,33,15.2 m
69,Se,34,27.4 s
69,Br,35,<24 ns
69,Kr,36,28 ms
70,Cr,24,1 ms
70,Mn,25,19.9 ms
70,Fe,26,63.0 ms
70,Co,27,112 ms
70,Ni,28,6.0 s
70,Cu,29,44.5 s
70,Zn,30,stbl
70,Ga,31,21.14 m
70,Ge,32,stbl
70,As,33,52.6 m
70,Se,34,41.1 m
70,Br,35,79.1 ms
70,Kr,36,52 ms
71,Mn,25,5 ms
71,Fe,26,33.7 ms
71,Co,27,80 ms
71,Ni,28,2.56 s
71,Cu,29,19.4 s
71,Zn,30,2.45 m
71,Ga,31,stbl
71,Ge,32,11.43 d
71,As,33,65.30 h
71,Se,34,4.74 m
71,Br,35,21.4 s
71,Kr,36,100 ms
71,Rb,37,n/a
72,Mn,25,2 ms
72,Fe,26,19 ms
72,Co,27,52.5 ms
72,Ni,28,1.57 s
72,Cu,29,6.63 s
72,Zn,30,46.5 h
72,Ga,31,14.025 h
72,Ge,32,stbl
72,As,33,26.0 h
72,Se,34,8.40 d
72,Br,35,78.6 s
72,Kr,36,17.16 s
72,Rb,37,<1.5us
73,Fe,26,12.9 ms
73,Co,27,40.7 ms
73,Ni,28,840 ms
73,Cu,29,4.2 s
73,Zn,30,23.5 s
73,Ga,31,4.86 h
73,Ge,32,stbl
73,As,33,80.30 d
73,Se,34,7.15 h
73,Br,35,3.4 m
73,Kr,36,27.3 s
73,Rb,37,<30ns
73,Sr,38,>25 ms
74,Fe,26,2 ms
74,Co,27,31.3 ms
74,Ni,28,507.7 ms
74,Cu,29,1.63 s
74,Zn,30,95.6 s
74,Ga,31,8.12 m
74,Ge,32,stbl
74,As,33,17.77 d
74,Se,34,stbl
74,Br,35,25.4 m
74,Kr,36,11.50 m
74,Rb,37,64.776 ms
74,Sr,38,27 ms
75,Fe,26,2 ms
75,Co,27,26.5 ms
75,Ni,28,331.6 ms
75,Cu,29,1.224 s
75,Zn,30,10.2 s
75,Ga,31,126 s
75,Ge,32,82.78 m
75,As,33,stbl
75,Se,34,119.78 d
75,Br,35,96.7 m
75,Kr,36,4.60 m
75,Rb,37,19.0 s
75,Sr,38,88 ms
75,Y,39,100 us
76,Co,27,23 ms
76,Ni,28,234.6 ms
76,Cu,29,637.7 ms
76,Zn,30,5.7 s
76,Ga,31,32.6 s
76,Ge,32,1.66 Zy
76,As,33,1.0778 d
76,Se,34,stbl
76,Br,35,16.2 h
76,Kr,36,14.8 h
76,Rb,37,36.5 s
76,Sr,38,7.89 s
76,Y,39,120 us
77,Co,27,15 ms
77,Ni,28,158.9 ms
77,Cu,29,467.9 ms
77,Zn,30,2.08 s
77,Ga,31,13.2 s
77,Ge,32,11.211 h
77,As,33,38.79 h
77,Se,34,stbl
77,Br,35,57.04 h
77,Kr,36,74.4 m
77,Rb,37,3.78 m
77,Sr,38,9.0 s
77,Y,39,63 ms
77,Zr,40,100 us
78,Ni,28,122.2 ms
78,Cu,29,330.7 ms
78,Zn,30,1.47 s
78,Ga,31,5.09 s
78,Ge,32,88.0 m
78,As,33,90.7 m
78,Se,34,stbl
78,Br,35,6.45 m
78,Kr,36,stbl
78,Rb,37,17.66 m
78,Sr,38,156.1 s
78,Y,39,54 ms
78,Zr,40,50 ms
79,Ni,28,44 ms
79,Cu,29,241.0 ms
79,Zn,30,746 ms
79,Ga,31,2.848 s
79,Ge,32,18.98 s
79,As,33,9.01 m
79,Se,34,327 ky
79,Br,35,stbl
79,Kr,36,35.04 h
79,Rb,37,22.9 m
79,Sr,38,2.25 m
79,Y,39,14.8 s
79,Zr,40,56 ms
79,Nb,41,n/a
80,Ni,28,30 ms
80,Cu,29,113.3 ms
80,Zn,30,562.2 ms
80,Ga,31,1.9 s
80,Ge,32,29.5 s
80,As,33,15.2 s
80,Se,34,stbl
80,Br,35,17.68 m
80,Kr,36,stbl
80,Rb,37,33.4 s
80,Sr,38,106.3 m
80,Y,39,30.1 s
80,Zr,40,4.6 s
80,Nb,41,n/a
81,Cu,29,73.2 ms
81,Zn,30,303.2 ms
81,Ga,31,1.217 s
81,Ge,32,8 s
81,As,33,33.3 s
81,Se,34,18.45 m
81,Br,35,stbl
81,Kr,36,229 ky
81,Rb,37,4.572 h
81,Sr,38,22.3 m
81,Y,39,70.4 s
81,Zr,40,5.5 s
81,Nb,41,<44 ns
81,Mo,42,1 ms
82,Cu,29,50 ms
82,Zn,30,177.9 ms
82,Ga,31,599 ms
82,Ge,32,4.56 s
82,As,33,19.1 s
82,Se,34,92 Ey
82,Br,35,35.282 h
82,Kr,36,stbl
82,Rb,37,1.273 m
82,Sr,38,25.36 d
82,Y,39,8.30 s
82,Zr,40,32 s
82,Nb,41,50 ms
82,Mo,42,30 ms
83,Zn,30,119 ms
83,Ga,31,308.1 ms
83,Ge,32,1.85 s
83,As,33,13.4 s
83,Se,34,22.25 m
83,Br,35,2.374 h
83,Kr,36,stbl
83,Rb,37,86.2 d
83,Sr,38,32.41 h
83,Y,39,7.08 m
83,Zr,40,42 s
83,Nb,41,3.9 s
83,Mo,42,23 ms
83,Tc,43,n/a
84,Zn,30,50 ms
84,Ga,31,85 ms
84,Ge,32,951 ms
84,As,33,4.02 s
84,Se,34,3.26 m
84,Br,35,31.76 m
84,Kr,36,stbl
84,Rb,37,32.82 d
84,Sr,38,stbl
84,Y,39,39.5 m
84,Zr,40,25.8 m
84,Nb,41,9.8 s
84,Mo,42,2.3 s
84,Tc,43,n/a
85,Zn,30,50 ms
85,Ga,31,92.2 ms
85,Ge,32,494 ms
85,As,33,2.021 s
85,Se,34,32.9 s
85,Br,35,2.90 m
85,Kr,36,10.739 y
85,Rb,37,stbl
85,Sr,38,64.849 d
85,Y,39,2.68 h
85,Zr,40,7.86 m
85,Nb,41,20.5 s
85,Mo,42,3.2 s
85,Tc,43,<110ns
85,Ru,44,1 ms
86,Ga,31,47 ms
86,Ge,32,226 ms
86,As,33,945 ms
86,Se,34,14.3 s
86,Br,35,55.1 s
86,Kr,36,stbl
86,Rb,37,18.642 d
86,Sr,38,stbl
86,Y,39,14.74 h
86,Zr,40,16.5 h
86,Nb,41,88 s
86,Mo,42,19.1 s
86,Tc,43,55 ms
86,Ru,44,50 ms
87,Ga,31,10 ms
87,Ge,32,150 ms
87,As,33,492 ms
87,Se,34,5.50 s
87,Br,35,55.65 s
